[2026-04-10 08:41:45,739] flops: 10.579868042, params: 26.764399, Total params: : 26.7644
[2026-04-10 10:15:44,159] ### Best Model Saved (Dice improved from 0.9383 to 0.9392) ###
[2026-04-10 10:16:40,671] Epoch: 109, Dataset: test, Dice: 0.9481, IoU: 0.9046
[2026-04-10 10:16:41,668] Epoch: 109, Dataset: val, Dice: 0.9343, IoU: 0.8853
[2026-04-10 10:17:38,412] Epoch: 110, Dataset: test, Dice: 0.9458, IoU: 0.9000
[2026-04-10 10:17:39,348] Epoch: 110, Dataset: val, Dice: 0.9334, IoU: 0.8804
[2026-04-10 10:18:35,394] Epoch: 111, Dataset: test, Dice: 0.9454, IoU: 0.9005
[2026-04-10 10:18:36,359] Epoch: 111, Dataset: val, Dice: 0.9343, IoU: 0.8861
[2026-04-10 10:19:32,628] Epoch: 112, Dataset: test, Dice: 0.9446, IoU: 0.8984
[2026-04-10 10:19:33,572] Epoch: 112, Dataset: val, Dice: 0.9286, IoU: 0.8761
[2026-04-10 10:20:29,043] Epoch: 113, Dataset: test, Dice: 0.9517, IoU: 0.9102
[2026-04-10 10:20:29,993] Epoch: 113, Dataset: val, Dice: 0.9360, IoU: 0.8885
[2026-04-10 10:21:26,460] Epoch: 114, Dataset: test, Dice: 0.9500, IoU: 0.9076
[2026-04-10 10:21:27,382] Epoch: 114, Dataset: val, Dice: 0.9335, IoU: 0.8840
[2026-04-10 10:22:23,393] Epoch: 115, Dataset: test, Dice: 0.9502, IoU: 0.9077
[2026-04-10 10:22:24,315] Epoch: 115, Dataset: val, Dice: 0.9317, IoU: 0.8817
[2026-04-10 10:23:20,586] Epoch: 116, Dataset: test, Dice: 0.9484, IoU: 0.9048
[2026-04-10 10:23:21,487] Epoch: 116, Dataset: val, Dice: 0.9344, IoU: 0.8846
[2026-04-10 10:24:17,032] Epoch: 117, Dataset: test, Dice: 0.9506, IoU: 0.9083
[2026-04-10 10:24:17,917] Epoch: 117, Dataset: val, Dice: 0.9388, IoU: 0.8896
[2026-04-10 10:25:14,151] Epoch: 118, Dataset: test, Dice: 0.9524, IoU: 0.9112
[2026-04-10 10:25:15,060] Epoch: 118, Dataset: val, Dice: 0.9311, IoU: 0.8778
